I am a perfectionist	oeps	1
I strive for efficiency	oeps	1
I often have to redo other peoples work	oeps	1
I keep my belongings in order	oeps	1
My relationships with others are what my life is about	oeps	2
I have difficulty saying no	oeps	2
I get lots of satisfaction from helping others achieve their goals	oeps	2
I put family first	oeps	2
I put work first	oeps	3
I like to stand out	oeps	3
It is good to wake up to a full day of planned activities	oeps	3
Money is important to my happiness	oeps	3
I daydream about being in love	oeps	4
I really enjoy feeling bitter sweet	oeps	4
I cry	oeps	4
I side with the rebels over the establishment	oeps	4
I have a hard time showing emotions	oeps	5
I spend hours alone with my hobbies	oeps	5
I spend most of my time trying to understand things	oeps	5
I like mental challenges	oeps	5
Fear of being taken advantage of keeps me from being more trusting	oeps	6
I get input from others before I make a decision	oeps	6
I conform	oeps	6
I am loyal	oeps	6
I must always be having new experiences	oeps	7
I can keep a conversation going with anyone about anything	oeps	7
I am uninhibited	oeps	7
I always try to break the tension with a good joke	oeps	7
I naturally emerge as a leader	oeps	8
I like a conversation where no one agrees	oeps	8
I want people to tell me the truth, not spare my feelings	oeps	8
I prefer it when leaders are decisive	oeps	8
When other people are arguing, I leave the room	oeps	9
I keep my thoughts to myself, to prevent trouble	oeps	9
I am very accepting and flexible	oeps	9
I avoid confrontation	oeps	9
I keep things organized	teme	1
I am punctual and prefer being early to being late	teme	1
I tend to follow the rules	teme	1
I do my best to keep my word	teme	1
I am articulate and care about grammar, spelling, and punctuation	teme	1
I see things as being mostly black-and-white - they are good or bad, right or wrong	teme	1
I am honest, sincere, and value fairness	teme	1
I worry about many things, especially inconsistencies	teme	1
I am practical and realistic	teme	1
I often prioritize others' needs over my own	teme	2
I like to get along with people	teme	2
I can be sensitive at times	teme	2
I like to make other people happy	teme	2
I hate to feel lonely	teme	2
I am agreeable and tend to adapt to those around me	teme	2
I prefer that relationships be harmonious	teme	2
"It is better to give than to receive"	teme	2
I sometimes find it difficult to watch violence on TV	teme	2
I like to stay busy	teme	3
I frequently finish projects early	teme	3
I will continue working even when I don't feel well	teme	3
I rarely get bored	teme	3
I am happy with who I am	teme	3
I tend to make a good first impression	teme	3
I am willing to work late to meet deadlines	teme	3
Others sometimes look to me for direction	teme	3
Schedules and to-do lists help me keep on track and get things done	teme	3
I like it when people understand me	teme	4
Current events sometimes make me depressed and even upset	teme	4
I want to be there for my friends when they are sad	teme	4
I tend to be intuitive and idealistic	teme	4
I like sincere people who have integrity	teme	4
I am unique and tend to be a bit of a non-conformist	teme	4
I am emotional and my feelings are easily hurt	teme	4
I sometimes get lost in a pit of depression	teme	4
I can be controlling at times	teme	4
I enjoy reading, learning, and watching	teme	5
I am individualistic and not afraid to be different	teme	5
I prefer ideas to material possessions	teme	5
It's fun to be like a fly on the wall	teme	5
Crowds tend to wear me out	teme	5
I tend to come out of my shell only around those with shared interests	teme	5
I dislike loud people	teme	5
I can be cynical and skpetical of others' expertise	teme	5
Sometimes I hide my inner conflict behind a calm exterior	teme	5
I am alert and cautious	teme	6
I tend to doubt those in authority	teme	6
I am usually a bit more serious than other people	teme	6
I can sometimes be my own worst enemy	teme	6
I try to follow the rules, but sometimes need to break them	teme	6
I work hard and am supportive of others	teme	6
I sometimes worry, even when things are going well	teme	6
I suspect that fake, pretentious people are hiding something	teme	6
"Flattery will get you nowhere"	teme	6
I am upbeat and energetic	teme	7
I am fearless and willing to take risks	teme	7
