I keep things organized	1
I am punctual and prefer being early to being late	1
I tend to follow the rules	1
I do my best to keep my word	1
I am articulate and care about grammar, spelling, and punctuation	1
I see things as being mostly black-and-white - they are good or bad, right or wrong	1
I am honest, sincere, and value fairness	1
I worry about many things, especially inconsistencies	1
I am practical and realistic	1
I often prioritize others' needs over my own	2
I like to get along with people	2
I can be sensitive at times	2
I like to make other people happy	2
I hate to feel lonely	2
I am agreeable and tend to adapt to those around me	2
I prefer that relationships be harmonious	2
"It is better to give than to receive"	2
I sometimes find it difficult to watch violence on TV	2
I like to stay busy	3
I frequently finish projects early	3
I will continue working even when I don't feel well	3
I rarely get bored	3
I am happy with who I am	3
I tend to make a good first impression	3
I am willing to work late to meet deadlines	3
Others sometimes look to me for direction	3
Schedules and to-do lists help me keep on track and get things done	3
I like it when people understand me	4
Current events sometimes make me depressed and even upset	4
I want to be there for my friends when they are sad	4
I tend to be intuitive and idealistic	4
I like sincere people who have integrity	4
I am unique and tend to be a bit of a non-conformist	4
I am emotional and my feelings are easily hurt	4
I sometimes get lost in a pit of depression	4
I can be controlling at times	4
I enjoy reading, learning, and watching	5
I am individualistic and not afraid to be different	5
I prefer ideas to material possessions	5
It's fun to be like a fly on the wall	5
Crowds tend to wear me out	5
I tend to come out of my shell only around those with shared interests	5
I dislike loud people	5
I can be cynical and skpetical of others' expertise	5
Sometimes I hide my inner conflict behind a calm exterior	5
I am alert and cautious	6
I tend to doubt those in authority	6
I am usually a bit more serious than other people	6
I can sometimes be my own worst enemy	6
I try to follow the rules, but sometimes need to break them	6
I work hard and am supportive of others	6
I sometimes worry, even when things are going well	6
I suspect that fake, pretentious people are hiding something	6
"Flattery will get you nowhere"	6
I am upbeat and energetic	7
I am fearless and willing to take risks	7
I try to be likeable and tend to like others as well	7
I tend to have a variety of interests	7
I don't like to be fenced in with obligations	7
I love adventure and new experiences	7
In some ways, I am a "jack of all trades"	7
I am uninhibited and feel free to speak my mind	7
I am extraverted and feel comfortable in crowds	7
I tend to be assertive and even aggressive at times	8
I dislike it when people try to manipulate me	8
I am independent and my own boss	8
I can be argumentative and am not afraid to fight	8
I overindulge at times	8
I work hard and am protective of the ones I love	8
I tell people exactly what I think and don't "pull punches"	8
I am decisive and unshakeable	8
"Nice guys finish last"	8
I can be indecisive at times	9
I enjoy being in harmony with people and nature	9
It's easier to do quick unimportant tasks than the big important ones	9
I reject attempts to control me	9
I can be a bit of a packrat at times	9
It can be difficult getting started, but once I'm going it's hard to stop	9
I tend to avoid conflict	9
I have a positive outlook on life	9
I am supportive and a good listener	9
